Designator,Mid X,Mid Y,Layer,Rotation
R40,16.487,19.3025,TopLayer,0
R39,41.9399,19.6308,TopLayer,180
R38,43.9921,19.6308,TopLayer,180
R37,49.4451,57.1872,TopLayer,180
R36,42.8629,57.1872,TopLayer,180
R35,46.3415,54.0515,TopLayer,0
R34,39.703,54.0515,TopLayer,0
R33,46.3415,55.0608,TopLayer,180
R7,39.703,55.0608,TopLayer,180
Q3,46.7776,57.5195,TopLayer,270
Q2,40.142,57.5195,TopLayer,270
D7,49.935,58.6293,TopLayer,180
D6,43.3128,58.6293,TopLayer,180
R3,25.146,22.352,TopLayer,0
BT1,30.459,16.891,BottomLayer,270
C33,8.128,20.066,TopLayer,0
U1,37.4169,8.7422,TopLayer,270
C6,37.9502,12.446,TopLayer,0
R32,21.4441,37.6221,TopLayer,270
C25,35.7113,44.1788,TopLayer,90
D1,45.3925,50.1904,TopLayer,180
J7,48.5421,9.9144,BottomLayer,0
X3,7.5384,16.0533,TopLayer,270
C26,7.5008,18.5738,TopLayer,180
C23,7.5008,13.5738,TopLayer,0
R13,15.9004,15.6567,TopLayer,180
L3,11.001,12.319,TopLayer,270
L2,11.4808,13.7914,TopLayer,0
L1,12.0142,12.3182,TopLayer,270
C20,9.551,12.819,TopLayer,0
C19,9.5758,11.734,TopLayer,0
C18,7.6907,11.0939,TopLayer,270
C17,9.558,10.654,TopLayer,180
C14,13.0556,13.3342,TopLayer,270
C13,15.9004,17.0688,TopLayer,180
C12,15.9004,18.1102,TopLayer,180
U3,12.008,17.054,TopLayer,180
U4,30,41.021,TopLayer,270
J1,30,51.4,TopLayer,0
R2,47.1932,21.0058,TopLayer,270
R1,46.129,20.9931,TopLayer,270
R6,40.2616,49.3775,TopLayer,180
R5,40.2362,51.3079,TopLayer,180
R4,42.7001,50.2412,TopLayer,270
Q1,21.2434,40.558,TopLayer,270
R30,20.4027,37.5985,TopLayer,90
LS1,17.6556,47.4726,TopLayer,0
R26,41.7602,1.8034,TopLayer,0
R27,41.7348,3.386,TopLayer,0
D2,44.2579,3.4439,TopLayer,180
D3,44.2579,1.7529,TopLayer,180
R28,12.2075,52.2309,TopLayer,90
C30,11.1802,52.2437,TopLayer,90
U5,48.3896,15.6467,TopLayer,0
C7,48.8722,20.9931,TopLayer,270
C2,46.2307,17.5852,TopLayer,90
R12,50.5065,15.599,TopLayer,270
R11,50.5362,13.5223,TopLayer,270
R20,51.717,4.9553,TopLayer,180
R21,51.717,3.916,TopLayer,180
R19,51.717,2.8765,TopLayer,0
R18,37.513,4.0317,TopLayer,0
C27,50.3772,7.5125,TopLayer,180
C24,37.5358,2.7351,TopLayer,0
C8,51.2727,1.6848,TopLayer,180
R25,51.717,5.9944,TopLayer,0
R22,47.3247,7.3763,TopLayer,180
R10,30.2986,23.3256,TopLayer,90
R9,29.3651,23.3256,TopLayer,90
C31,48.923,23.6554,TopLayer,0
C29,49.3631,31.3874,TopLayer,90
C28,49.3628,29.1411,TopLayer,270
C32,49.3628,26.5186,TopLayer,270
R24,35.686,42.218,TopLayer,270
R23,26.4177,44.8927,TopLayer,180
X2,38.7896,25.1466,TopLayer,180
J6,51.4013,31.692,TopLayer,90
J8,51.4013,21.446,TopLayer,90
R15,23.3646,31.8325,TopLayer,0
R14,23.7999,33.607,TopLayer,270
J4,52.7558,46.2026,TopLayer,270
C1,46.7386,45.5168,TopLayer,90
U7,48.288,4.0386,TopLayer,270
U6,42.0898,44.3382,TopLayer,270
SW1,7.174,48.1763,TopLayer,90
SW4,43.0001,9.508,TopLayer,270
SW3,30,9.508,TopLayer,270
SW2,17.0001,9.508,TopLayer,90
R17,40.4367,34.5694,TopLayer,90
R16,31.2447,23.3256,TopLayer,90
R8,29.2585,36.6776,TopLayer,270
J5,55.2794,11.3254,TopLayer,270
C11,32.7686,23.3172,TopLayer,90
C10,26.5886,36.2375,TopLayer,0
C9,23.2436,27.2503,TopLayer,0
U2,30,30,TopLayer,90
C21,37.874,34.2646,TopLayer,270
C22,39.0678,34.5694,TopLayer,270
X1,38.354,29.8442,TopLayer,90
R31,1.6676,46.9363,TopLayer,180
R29,1.6593,52.031,TopLayer,180
J9,7.493,33.6542,TopLayer,270
D4,1.2144,49.8458,TopLayer,90
D5,1.197,44.7308,TopLayer,90
C4,34.9276,9.3472,TopLayer,90
C5,37.9756,11.3538,TopLayer,0
C3,37.3184,5.6185,TopLayer,180
C16,38.3032,32.3842,TopLayer,0
C15,38.3032,27.305,TopLayer,180
